context	nb sameas	all_pair	ratio
['graduatedfrom-inv']['graduatedfrom-inv']['created', 'owns', 'skos:preflabel', 'wascreatedondate', 'wascreatedonyear']	1	1	1.0
['graduatedfrom-inv']['graduatedfrom-inv']['hasmotto', 'islocatedin', 'owns', 'playsfor-inv', 'skos:preflabel', 'wascreatedonyear']	3	228	0.013157894736842105
['graduatedfrom-inv']['graduatedfrom-inv']['created', 'hasmotto', 'islocatedin', 'skos:preflabel', 'wascreatedonyear']	5	77	0.06493506493506493
['graduatedfrom-inv']['graduatedfrom-inv']['created', 'islocatedin', 'playsfor-inv', 'skos:preflabel', 'wascreatedonyear']	1	11	0.09090909090909091
['graduatedfrom-inv']['graduatedfrom-inv', 'owns']['islocatedin', 'skos:preflabel', 'wascreatedonyear']	1	26	0.038461538461538464
['graduatedfrom-inv'][]['islocatedin', 'skos:preflabel']	1	2	0.5
['graduatedfrom-inv']['graduatedfrom-inv', 'owns']['hasmotto', 'islocatedin', 'skos:preflabel', 'wascreatedonyear']	2	41	0.04878048780487805
['graduatedfrom-inv']['graduatedfrom-inv']['islocatedin', 'owns', 'skos:preflabel', 'wascreatedondate', 'wascreatedonyear']	4	24	0.16666666666666666
['graduatedfrom-inv']['graduatedfrom-inv']['created', 'islocatedin', 'skos:preflabel', 'wascreatedonyear']	3	71	0.04225352112676056
['graduatedfrom-inv']['graduatedfrom-inv']['skos:preflabel', 'wascreatedondate', 'wascreatedonyear']	2	4	0.5
['graduatedfrom-inv']['graduatedfrom-inv', 'owns']['islocatedin', 'skos:preflabel', 'wascreatedondate', 'wascreatedonyear']	1	5	0.2
['graduatedfrom-inv']['graduatedfrom-inv']['created', 'skos:preflabel']	1	2	0.5
['graduatedfrom-inv']['playsfor-inv']['islocatedin', 'owns', 'skos:preflabel', 'wascreatedonyear']	1	1	1.0
['graduatedfrom-inv']['graduatedfrom-inv', 'owns']['hasmotto', 'islocatedin', 'skos:preflabel', 'wascreatedondate', 'wascreatedonyear']	1	11	0.09090909090909091
['graduatedfrom-inv'][]['hasmotto', 'islocatedin', 'playsfor-inv', 'skos:preflabel', 'wascreatedonyear']	1	1	1.0
['graduatedfrom-inv'][]['hasmotto', 'islocatedin', 'owns', 'skos:preflabel', 'wascreatedonyear']	1	2	0.5
['graduatedfrom-inv']['graduatedfrom-inv']['skos:preflabel']	1	19	0.05263157894736842
['graduatedfrom-inv']['skos:preflabel']['hasmotto', 'islocatedin', 'wascreatedonyear']	1	1	1.0
['graduatedfrom-inv']['graduatedfrom-inv', 'islocatedin', 'skos:preflabel']['wascreatedonyear']	1	194	0.005154639175257732
['graduatedfrom-inv']['graduatedfrom-inv']['hasmotto', 'islocatedin', 'playsfor-inv', 'skos:preflabel', 'wascreatedondate', 'wascreatedonyear']	1	11	0.09090909090909091
['graduatedfrom-inv']['skos:preflabel']['wascreatedonyear']	1	1	1.0
['graduatedfrom-inv']['created', 'graduatedfrom-inv', 'skos:preflabel']['hasmotto', 'islocatedin', 'wascreatedonyear']	1	2	0.5
context	nb sameas	all_pair	ratio
['islocatedin']['skos:preflabel']['wascreatedonyear']	122	5204	0.023443504996156803
['islocatedin']['skos:preflabel']['hasmotto', 'wascreatedonyear']	41	3000	0.013666666666666667
['islocatedin']['islocatedin', 'skos:preflabel']['wascreatedonyear']	143	1364259	0.00010481880639966458
['islocatedin']['islocatedin', 'owns', 'skos:preflabel']['hasmotto', 'wascreatedonyear']	1	413	0.002421307506053269
['islocatedin']['islocatedin', 'skos:preflabel']['graduatedfrom-inv', 'wascreatedonyear']	36	713553	5.045175340864659e-05
['islocatedin']['hasmotto', 'islocatedin', 'skos:preflabel']['graduatedfrom-inv', 'wascreatedonyear']	8	126518	6.323210926508481e-05
['islocatedin']['hasmotto', 'islocatedin', 'skos:preflabel']['wascreatedonyear']	11	153821	7.151169216166844e-05
['islocatedin']['islocatedin']['hasmotto', 'skos:preflabel', 'wascreatedonyear']	2	16149	0.00012384667781286768
['islocatedin']['skos:preflabel']['graduatedfrom-inv', 'wascreatedonyear']	14	2617	0.005349636988918609
['islocatedin']['islocatedin', 'skos:preflabel']['playsfor-inv', 'wascreatedonyear']	2	59762	3.346608212576554e-05
['islocatedin'][]['skos:preflabel', 'wascreatedonyear']	13	172	0.0755813953488372
['islocatedin']['islocatedin', 'skos:preflabel']['hasmotto', 'wascreatedonyear']	57	875890	6.50766648780098e-05
['islocatedin']['islocatedin']['skos:preflabel', 'wascreatedonyear']	10	29489	0.00033910949845705177
['islocatedin']['skos:preflabel']['graduatedfrom-inv', 'hasmotto', 'wascreatedonyear']	7	1952	0.003586065573770492
['islocatedin']['islocatedin', 'skos:preflabel'][]	20	88602	0.00022572853885916797
['islocatedin']['hasmotto', 'skos:preflabel']['wascreatedonyear']	6	633	0.009478672985781991
['islocatedin']['skos:preflabel'][]	7	463	0.01511879049676026
['islocatedin']['graduatedfrom-inv', 'islocatedin', 'skos:preflabel']['hasmotto', 'wascreatedonyear']	3	130749	2.2944726154693344e-05
['islocatedin']['graduatedfrom-inv', 'skos:preflabel']['owns', 'wascreatedonyear']	2	29	0.06896551724137931
['islocatedin']['islocatedin', 'skos:preflabel']['wascreatedondate', 'wascreatedonyear']	1	54883	1.8220578321155913e-05
['islocatedin']['graduatedfrom-inv', 'islocatedin', 'skos:preflabel']['wascreatedonyear']	10	114681	8.719840252526574e-05
['islocatedin']['skos:preflabel', 'wascreatedonyear']['graduatedfrom-inv', 'wascreatedondate']	1	121	0.008264462809917356
['islocatedin']['islocatedin', 'skos:preflabel']['hasmotto']	5	37660	0.0001327668613913967
['islocatedin']['skos:preflabel']['playsfor-inv', 'wascreatedonyear']	1	63	0.015873015873015872
['islocatedin'][]['skos:preflabel']	1	14	0.07142857142857142
['islocatedin']['graduatedfrom-inv', 'islocatedin', 'skos:preflabel']['hasmotto', 'owns', 'wascreatedonyear']	2	88083	2.270585697580691e-05
['islocatedin']['islocatedin', 'skos:preflabel']['graduatedfrom-inv', 'hasmotto', 'wascreatedonyear']	12	637231	1.8831475555960083e-05
['islocatedin']['islocatedin', 'skos:preflabel']['graduatedfrom-inv', 'playsfor-inv', 'wascreatedonyear']	1	132403	7.552698956972274e-06
['islocatedin']['hasmotto', 'skos:preflabel']['graduatedfrom-inv', 'playsfor-inv', 'wascreatedonyear']	1	27	0.037037037037037035
['islocatedin']['islocatedin']['graduatedfrom-inv', 'skos:preflabel', 'wascreatedonyear']	1	14280	7.002801120448179e-05
['islocatedin']['hasmotto', 'skos:preflabel']['graduatedfrom-inv', 'wascreatedonyear']	3	417	0.007194244604316547
['islocatedin']['islocatedin', 'skos:preflabel']['graduatedfrom-inv', 'hasmotto', 'wascreatedondate', 'wascreatedonyear']	1	41651	2.4009027394300258e-05
['islocatedin']['islocatedin', 'skos:preflabel']['graduatedfrom-inv', 'hasmotto', 'owns', 'wascreatedonyear']	3	218431	1.3734314268579094e-05
['islocatedin']['graduatedfrom-inv', 'skos:preflabel']['hasmotto', 'owns', 'wascreatedonyear']	1	54	0.018518518518518517
['islocatedin']['graduatedfrom-inv', 'skos:preflabel']['wascreatedonyear']	3	431	0.0069605568445475635
['islocatedin']['skos:preflabel']['graduatedfrom-inv', 'hasmotto', 'owns', 'wascreatedonyear']	1	134	0.007462686567164179
['islocatedin']['graduatedfrom-inv', 'skos:preflabel']['hasmotto', 'wascreatedonyear']	3	397	0.007556675062972292
['islocatedin']['graduatedfrom-inv', 'islocatedin', 'skos:preflabel']['hasmotto', 'playsfor-inv', 'wascreatedonyear']	1	59724	1.674368762976358e-05
['islocatedin']['graduatedfrom-inv', 'islocatedin', 'skos:preflabel']['playsfor-inv', 'wascreatedonyear']	1	39722	2.5174966013795882e-05
['islocatedin']['graduatedfrom-inv', 'islocatedin', 'skos:preflabel'][]	1	1455	0.0006872852233676976
['islocatedin']['hasmotto', 'islocatedin', 'skos:preflabel']['graduatedfrom-inv', 'owns', 'wascreatedonyear']	1	48310	2.0699648105982198e-05
['islocatedin'][]['hasmotto', 'skos:preflabel', 'wascreatedonyear']	1	56	0.017857142857142856
['islocatedin']['skos:preflabel']['graduatedfrom-inv', 'playsfor-inv', 'wascreatedonyear']	1	74	0.013513513513513514
['islocatedin']['graduatedfrom-inv', 'skos:preflabel']['playsfor-inv']	1	1	1.0
['islocatedin']['graduatedfrom-inv', 'islocatedin', 'skos:preflabel']['owns', 'playsfor-inv', 'wascreatedonyear']	1	38508	2.5968629895086736e-05
['islocatedin']['islocatedin']['skos:preflabel']	1	1624	0.0006157635467980296
['islocatedin']['skos:preflabel']['hasmotto', 'owns', 'wascreatedonyear']	1	19	0.05263157894736842
['islocatedin']['skos:preflabel']['hasmotto']	1	170	0.0058823529411764705
['islocatedin']['graduatedfrom-inv', 'islocatedin', 'skos:preflabel']['hasmotto', 'owns', 'playsfor-inv', 'wascreatedonyear']	1	98162	1.0187241498746969e-05
['islocatedin']['islocatedin', 'skos:preflabel']['graduatedfrom-inv']	1	26994	3.704526931910795e-05
['islocatedin']['graduatedfrom-inv', 'islocatedin']['skos:preflabel', 'wascreatedonyear']	1	2003	0.0004992511233150275
context	nb sameas	all_pair	ratio
['graduatedfrom-inv', 'islocatedin']['graduatedfrom-inv', 'islocatedin', 'skos:preflabel']['owns', 'wascreatedonyear']	3	64	0.046875
['graduatedfrom-inv', 'islocatedin']['graduatedfrom-inv', 'skos:preflabel']['wascreatedonyear']	23	35	0.6571428571428571
['graduatedfrom-inv', 'islocatedin']['graduatedfrom-inv', 'islocatedin', 'skos:preflabel']['hasmotto', 'wascreatedonyear']	21	270	0.07777777777777778
['graduatedfrom-inv', 'islocatedin']['graduatedfrom-inv', 'islocatedin', 'skos:preflabel']['wascreatedonyear']	31	161	0.19254658385093168
['graduatedfrom-inv', 'islocatedin']['islocatedin', 'skos:preflabel']['owns', 'wascreatedonyear']	1	1	1.0
['graduatedfrom-inv', 'islocatedin']['graduatedfrom-inv', 'hasmotto', 'skos:preflabel']['created', 'owns', 'playsfor-inv', 'wascreatedonyear']	1	2	0.5
['graduatedfrom-inv', 'islocatedin']['graduatedfrom-inv', 'hasmotto', 'islocatedin', 'skos:preflabel']['wascreatedonyear']	4	100	0.04
['graduatedfrom-inv', 'islocatedin']['islocatedin', 'skos:preflabel']['wascreatedonyear']	7	7	1.0
['graduatedfrom-inv', 'islocatedin']['graduatedfrom-inv', 'hasmotto', 'skos:preflabel']['wascreatedonyear']	2	5	0.4
['graduatedfrom-inv', 'islocatedin']['graduatedfrom-inv', 'skos:preflabel']['hasmotto', 'wascreatedonyear']	8	18	0.4444444444444444
['graduatedfrom-inv', 'islocatedin']['graduatedfrom-inv', 'islocatedin', 'skos:preflabel']['hasmotto', 'playsfor-inv', 'wascreatedonyear']	1	61	0.01639344262295082
['graduatedfrom-inv', 'islocatedin']['graduatedfrom-inv', 'islocatedin']['hasmotto', 'skos:preflabel', 'wascreatedonyear']	1	4	0.25
['graduatedfrom-inv', 'islocatedin']['graduatedfrom-inv', 'islocatedin', 'skos:preflabel']['created', 'playsfor-inv', 'wascreatedonyear']	1	3	0.3333333333333333
['graduatedfrom-inv', 'islocatedin']['graduatedfrom-inv', 'islocatedin', 'skos:preflabel']['created', 'hasmotto', 'wascreatedonyear']	1	30	0.03333333333333333
['graduatedfrom-inv', 'islocatedin']['graduatedfrom-inv', 'hasmotto', 'islocatedin']['owns', 'playsfor-inv', 'skos:preflabel', 'wascreatedonyear']	1	1	1.0
['graduatedfrom-inv', 'islocatedin']['graduatedfrom-inv', 'islocatedin']['skos:preflabel', 'wascreatedonyear']	2	3	0.6666666666666666
['graduatedfrom-inv', 'islocatedin']['skos:preflabel']['wascreatedonyear']	7	7	1.0
['graduatedfrom-inv', 'islocatedin']['graduatedfrom-inv', 'skos:preflabel']['hasmotto', 'owns', 'wascreatedonyear']	2	7	0.2857142857142857
['graduatedfrom-inv', 'islocatedin']['islocatedin', 'skos:preflabel']['playsfor-inv', 'wascreatedonyear']	1	1	1.0
['graduatedfrom-inv', 'islocatedin']['created', 'graduatedfrom-inv', 'skos:preflabel']['hasmotto', 'wascreatedonyear']	1	2	0.5
['graduatedfrom-inv', 'islocatedin']['skos:preflabel']['hasmotto', 'wascreatedonyear']	2	2	1.0
['graduatedfrom-inv', 'islocatedin']['graduatedfrom-inv', 'islocatedin', 'owns', 'skos:preflabel']['hasmotto', 'wascreatedonyear']	1	38	0.02631578947368421
['graduatedfrom-inv', 'islocatedin']['graduatedfrom-inv', 'islocatedin', 'skos:preflabel']['hasmotto', 'owns', 'playsfor-inv', 'wascreatedonyear']	1	211	0.004739336492890996
['graduatedfrom-inv', 'islocatedin']['graduatedfrom-inv', 'hasmotto', 'islocatedin', 'owns', 'skos:preflabel']['wascreatedonyear']	1	35	0.02857142857142857
['graduatedfrom-inv', 'islocatedin']['graduatedfrom-inv', 'islocatedin', 'skos:preflabel']['playsfor-inv', 'wascreatedonyear']	1	27	0.037037037037037035
['graduatedfrom-inv', 'islocatedin']['graduatedfrom-inv', 'hasmotto', 'islocatedin', 'skos:preflabel']['playsfor-inv', 'wascreatedonyear']	1	28	0.03571428571428571
['graduatedfrom-inv', 'islocatedin']['islocatedin', 'skos:preflabel']['hasmotto', 'wascreatedonyear']	4	7	0.5714285714285714
['graduatedfrom-inv', 'islocatedin']['graduatedfrom-inv', 'islocatedin', 'skos:preflabel']['created', 'wascreatedonyear']	1	21	0.047619047619047616
['graduatedfrom-inv', 'islocatedin']['graduatedfrom-inv', 'hasmotto', 'islocatedin', 'skos:preflabel']['owns', 'wascreatedonyear']	3	89	0.033707865168539325
['graduatedfrom-inv', 'islocatedin']['graduatedfrom-inv', 'islocatedin', 'skos:preflabel']['hasmotto', 'owns', 'wascreatedonyear']	3	165	0.01818181818181818
['graduatedfrom-inv', 'islocatedin']['graduatedfrom-inv']['skos:preflabel', 'wascreatedonyear']	3	3	1.0
['graduatedfrom-inv', 'islocatedin']['graduatedfrom-inv', 'skos:preflabel', 'wascreatedonyear']['hasmotto', 'wascreatedondate']	1	1	1.0
['graduatedfrom-inv', 'islocatedin']['graduatedfrom-inv', 'islocatedin']['owns', 'skos:preflabel', 'wascreatedonyear']	1	1	1.0
['graduatedfrom-inv', 'islocatedin']['graduatedfrom-inv', 'skos:preflabel']['playsfor-inv', 'wascreatedonyear']	1	3	0.3333333333333333
['graduatedfrom-inv', 'islocatedin']['graduatedfrom-inv', 'hasmotto', 'skos:preflabel']['playsfor-inv', 'wascreatedonyear']	1	2	0.5
['graduatedfrom-inv', 'islocatedin']['graduatedfrom-inv', 'hasmotto', 'islocatedin', 'skos:preflabel']['created', 'wascreatedonyear']	1	22	0.045454545454545456
['graduatedfrom-inv', 'islocatedin']['graduatedfrom-inv', 'islocatedin', 'skos:preflabel']['wascreatedondate', 'wascreatedonyear']	1	11	0.09090909090909091
['graduatedfrom-inv', 'islocatedin']['skos:preflabel']['hasmotto', 'playsfor-inv', 'wascreatedonyear']	1	1	1.0
['graduatedfrom-inv', 'islocatedin']['graduatedfrom-inv', 'skos:preflabel']['created', 'wascreatedonyear']	1	2	0.5
['graduatedfrom-inv', 'islocatedin']['graduatedfrom-inv', 'hasmotto', 'skos:preflabel']['created', 'wascreatedonyear']	1	4	0.25
['graduatedfrom-inv', 'islocatedin']['hasmotto', 'islocatedin', 'skos:preflabel']['wascreatedonyear']	1	1	1.0
['graduatedfrom-inv', 'islocatedin']['hasmotto', 'skos:preflabel']['wascreatedonyear']	1	1	1.0
